"name","city","state","inserted_at","updated_at"
"Keney Golf Course","Hartford","CT","2015-11-20","2015-11-20"
"Lake of Isles Golf Club - Lake of Isles North","Mashantucket","CT","2015-11-20","2015-11-20"
"Lake of Isles Golf Club - Lake of Isles South","Mashantucket","CT","2015-11-20","2015-11-20"
"Lake Waramaug Country Club","New Preston","CT","2015-11-20","2015-11-20"
"Laurel View Country Club","Hamden","CT","2015-11-20","2015-11-20"
"Litchfield Country Club","Litchfield","CT","2015-11-20","2015-11-20"
"LONGSHORE GOLF CLUB","Westport","CT","2015-11-20","2015-11-20"
"Lyman Orchards Golf Club - Apple","Middlefield","CT","2015-11-20","2015-11-20"
"Lyman Orchards Golf Club - Jones Course","Middlefield","CT","2015-11-20","2015-11-20"
"Lyman Orchards Golf Club - Players Course","Middlefield","CT","2015-11-20","2015-11-20"
"Madison Country Club","Madison","CT","2015-11-20","2015-11-20"
"Manchester Country Club","Manchester","CT","2015-11-20","2015-11-20"
"Milbrook Club","Greenwich","CT","2015-11-20","2015-11-20"
"Mill River Country Club","Stratford","CT","2015-11-20","2015-11-20"
"Miner Hills Golf Course","Middletown","CT","2015-11-20","2015-11-20"
"Minnechaug Golf Club","Glastonbury","CT","2015-11-20","2015-11-20"
"Mohegan Sun Golf Club","Baltic","CT","2015-11-20","2015-11-20"
"New Haven Country Club","Hamden","CT","2015-11-20","2015-11-20"
"Newtown Country Club","NEWTOWN","CT","2015-11-20","2015-11-20"
"Norfolk Country Club","Norfolk","CT","2015-11-20","2015-11-20"
"North Ridge Golf Course","Southington","CT","2015-11-20","2015-11-20"
"Norwich Golf Course","Norwich","CT","2015-11-20","2015-11-20"
"Oak Hills Park Golf Club","Norwalk","CT","2015-11-20","2015-11-20"
"Old Lyme Country Club","Old Lyme","CT","2015-11-20","2015-11-20"
"Orange Hills Country Club","Orange","CT","2015-11-20","2015-11-20"
"Oronoque Country Club","Stratford","CT","2015-11-20","2015-11-20"
"Oxford Greens Golf Club","Oxford","CT","2015-11-20","2015-11-20"
"Patterson Club","FAIRFIELD","CT","2015-11-20","2015-11-20"
"Pequabuck Golf Club","Pequabuck","CT","2015-11-20","2015-11-20"
"Pequot Golf Club","Stonington","CT","2015-11-20","2015-11-20"
"Pine Orchard Country Club","Branford","CT","2015-11-20","2015-11-20"
"Pomperaug Golf Course","Southbury","CT","2015-11-20","2015-11-20"
"Portland Golf Club","Portland","CT","2015-11-20","2015-11-20"
"Portland West Golf Course","Portland","CT","2015-11-20","2015-11-20"
"Quarry Ridge Golf Club","Portland","CT","2015-11-20","2015-11-20"
"Quarry View Golf Course","East Canaan","CT","2015-11-20","2015-11-20"
"Quinnatisset Country Club","Thompson","CT","2015-11-20","2015-11-20"
"Race Brook Country Club - O'Sullivan PGA Family Course","Orange","CT","2015-11-20","2015-11-20"
"Race Brook Country Club - Race Brook Country Club","Orange","CT","2015-11-20","2015-11-20"
"Raceway Golf Club","Thompson","CT","2015-11-20","2015-11-20"
"Redding Country Club","West Redding","CT","2015-11-20","2015-11-20"
"Richter Park Golf Course","Danbury","CT","2015-11-20","2015-11-20"
"Ridgefield Golf Course","Ridgefield","CT","2015-11-20","2015-11-20"
"Ridgewood Country Club","Danbury","CT","2015-11-20","2015-11-20"
"River Ridge Golf Course","Jewett City","CT","2015-11-20","2015-11-20"
"Rock Ridge Country Club","Newtown","CT","2015-11-20","2015-11-20"
"Rockledge Golf Club","West Hartford","CT","2015-11-20","2015-11-20"
"Rockrimmon Country Club","Stamford","CT","2015-11-20","2015-11-20"
"Rolling Greens Golf Club","Rocky Hill","CT","2015-11-20","2015-11-20"
"Rolling Hills Country Club","Wilton","CT","2015-11-20","2015-11-20"
"Rolling Meadows Country Club","Ellington","CT","2015-11-20","2015-11-20"
"Round Hill Club","Greenwich","CT","2015-11-20","2015-11-20"
"Sharon Country Club","Sharon","CT","2015-11-20","2015-11-20"
"Shennecossett Golf Club - Sheneccossett Golf Club","Groton","CT","2015-11-20","2015-11-20"
"Shorehaven Golf Club","East Norwalk","CT","2015-11-20","2015-11-20"
"Shuttle Meadow Country Club","Kensington","CT","2015-11-20","2015-11-20"
"Silver Spring Country Club","Ridgefield","CT","2015-11-20","2015-11-20"
"Silvermine Golf Club","Norwalk","CT","2015-11-20","2015-11-20"
"Silvermine Golf Club - Outing Course","Norwalk","CT","2015-11-20","2015-11-20"
"Silvermine Golf Club - Pro Shop 9","Norwalk","CT","2015-11-20","2015-11-20"
"Silvermine Golf Club - Regular Course","Norwalk","CT","2015-11-20","2015-11-20"
"Simsbury Farms","Simsbury","CT","2015-11-20","2015-11-20"
"Skungamaug River Golf Club","Coventry","CT","2015-11-20","2015-11-20"
"Sleeping Giant Country Club","Hamden","CT","2015-11-20","2015-11-20"
"Southington Country Club","Southington","CT","2015-11-20","2015-11-20"
"Stanley Golf Course - Blue and Red Course","New Britain","CT","2015-11-20","2015-11-20"
"Stanley Golf Course - White and Red","New Britain","CT","2015-11-20","2015-11-20"
"Stanley Golf Course - White Blue Course","New Britain","CT","2015-11-20","2015-11-20"
"Stanwich Club, The","Greenwich","CT","2015-11-20","2015-11-20"
"Sterling Farms Golf Course","Stamford","CT","2015-11-20","2015-11-20"
"Stonington Country Club","Stonington","CT","2015-11-20","2015-11-20"
"Stonybrook Golf Course","Litchfield","CT","2015-11-20","2015-11-20"
"Suffield Country Club","Suffield","CT","2015-11-20","2015-11-20"
"Sunset Hill Golf Course","Brookfield   203 740 7800","CT","2015-11-20","2015-11-20"
"Tallwood Country Club","Hebron","CT","2015-11-20","2015-11-20"
"Tamarack Country Club","Greenwich","CT","2015-11-20","2015-11-20"
"Tashua Knolls Golf Club","Trumbull","CT","2015-11-20","2015-11-20"
"Tashua Knolls Golf Club - Tashua Glen","Trumbull","CT","2015-11-20","2015-11-20"
"The Course at Yale","New Haven","CT","2015-11-20","2015-11-20"
"The Farms Country Club","Wallingford","CT","2015-11-20","2015-11-20"
"Timberlin Golf Club","Kensington","CT","2015-11-20","2015-11-20"
"Topstone Golf Club","South Windsor","CT","2015-11-20","2015-11-20"
"Torrington Country Club","Torrington","CT","2015-11-20","2015-11-20"
"Tower Ridge Country Club","Simsbury","CT","2015-11-20","2015-11-20"
"TPC River Highlands","Cromwell","CT","2015-11-20","2015-11-20"
"Tradition Golf Club at Oak Lane","Woodbridge","CT","2015-11-20","2015-11-20"
"Tradition Golf Club at Wallingford","Wallingford","CT","2015-11-20","2015-11-20"
"Tradition Golf Club at Windsor","Windsor","CT","2015-11-20","2015-11-20"
"Tumble Brook Country Club - Blue Course","Bloomfield","CT","2015-11-20","2015-11-20"
"Tumble Brook Country Club - Green Course","Bloomfield","CT","2015-11-20","2015-11-20"
"Tumble Brook Country Club - Red Course","Bloomfield","CT","2015-11-20","2015-11-20"
"Tunxis Plantation Country Club - Green Course","Farmington","CT","2015-11-20","2015-11-20"
"Tunxis Plantation Country Club - Red Course","Farmington","CT","2015-11-20","2015-11-20"
"Tunxis Plantation Country Club - White Course","Farmington","CT","2015-11-20","2015-11-20"
"Twin Hills Country Club","Coventry","CT","2015-11-20","2015-11-20"
"Vineyard Valley Golf Club","Pomfret","CT","2015-11-20","2015-11-20"
"Wallingford Country Club","Wallingford","CT","2015-11-20","2015-11-20"
"Wampanoag Country Club","West Hartford","CT","2015-11-20","2015-11-20"
"Washington Golf Club","Washington","CT","2015-11-20","2015-11-20"
"Watertown Golf Club","Watertown","CT","2015-11-20","2015-11-20"
"Watertown Golf Club - Inside - Outside Course","Watertown","CT","2015-11-20","2015-11-20"
"Wee Burn Country Club","Darien","CT","2015-11-20","2015-11-20"
"Western Hills Golf Course","Waterbury","CT","2015-11-20","2015-11-20"
"Westwoods Golf Course","Farmington","CT","2015-11-20","2015-11-20"
"Wethersfield Country Club - Inside-Outside Course","Wethersfield","CT","2015-11-20","2015-11-20"
"Wethersfield Country Club - Wethersfield Country Club","Wethersfield","CT","2015-11-20","2015-11-20"
"Wheeler Park - Black Course","Fairfield","CT","2015-11-20","2015-11-20"
"Wheeler Park - Red Course","Fairfield","CT","2015-11-20","2015-11-20"
"Whitney Farms Golf Course","Monroe","CT","2015-11-20","2015-11-20"
"Willow Brook Golf Course","South Windsor","CT","2015-11-20","2015-11-20"
"Windham Club","Willimantic","CT","2015-11-20","2015-11-20"
"Wintonbury Hills Golf Course","Bloomfield","CT","2015-11-20","2015-11-20"
"Woodhaven Golf Club","Woodhaven","CT","2015-11-20","2015-11-20"
"Woodstock Golf Course","South Woodstock","CT","2015-11-20","2015-11-20"
"Woodway Country Club","Darien","CT","2015-11-20","2015-11-20"
